code,date,Year,Mes,hosp_covid,uso_uci,ocup_hosp,deaths_covid
VT,2020-10-16,2020,10,2.0,94.0,2.0,0.0
VI,2020-10-15,2020,10,4.0,10.0,5.0,0.0
PR,2020-10-14,2020,10,384.0,474.0,435.0,6.0
VI,2020-10-13,2020,10,4.0,10.0,5.0,0.0
AL,2020-10-10,2020,10,983.0,1297.0,1275.0,16.0
VT,2020-10-09,2020,10,0.0,91.0,0.0,0.0
VI,2020-10-08,2020,10,1.0,8.0,2.0,0.0
AK,2020-10-05,2020,10,44.0,116.0,57.0,0.0
VI,2020-10-05,2020,10,3.0,4.0,4.0,0.0
VI,2020-10-03,2020,10,3.0,6.0,4.0,0.0
VI,2020-10-01,2020,10,3.0,8.0,4.0,0.0
VT,2020-10-01,2020,10,1.0,93.0,1.0,1.0
RI,2020-09-30,2020,9,91.0,150.0,99.0,2.0
VI,2020-09-29,2020,9,3.0,7.0,4.0,0.0
VT,2020-09-28,2020,9,3.0,88.0,4.0,0.0
VI,2020-09-26,2020,9,6.0,10.0,7.0,0.0
VI,2020-09-22,2020,9,3.0,12.0,3.0,0.0
VT,2020-09-22,2020,9,1.0,93.0,1.0,0.0
VI,2020-09-21,2020,9,4.0,9.0,4.0,0.0
RI,2020-09-10,2020,9,85.0,140.0,92.0,0.0
RI,2020-09-09,2020,9,78.0,136.0,83.0,1.0
AK,2020-09-08,2020,9,50.0,92.0,66.0,0.0
VI,2020-09-02,2020,9,10.0,14.0,13.0,0.0
PR,2020-08-29,2020,8,373.0,486.0,438.0,4.0
VT,2020-08-28,2020,8,3.0,32.0,9.0,0.0
AK,2020-08-27,2020,8,36.0,105.0,46.0,0.0
VI,2020-08-25,2020,8,10.0,11.0,14.0,1.0
VI,2020-08-24,2020,8,10.0,11.0,14.0,0.0
VI,2020-08-23,2020,8,9.0,7.0,12.0,0.0
WY,2020-08-22,2020,8,22.0,47.0,27.0,0.0
NJ,2020-08-21,2020,8,190.0,14.0,190.0,14.0
VI,2020-08-20,2020,8,14.0,7.0,17.0,0.0
DE,2020-08-18,2020,8,66.0,160.0,73.0,0.0
NH,2020-08-17,2020,8,33.0,165.0,39.0,0.0
VI,2020-08-15,2020,8,8.0,7.0,11.0,0.0
VI,2020-08-08,2020,8,6.0,9.0,10.0,0.0
WV,2020-08-02,2020,8,418.0,555.0,479.0,0.0
VI,2020-07-31,2020,7,7.0,13.0,13.0,0.0
NE,2020-07-29,2020,7,192.0,11.0,193.0,1.0
NE,2020-07-28,2020,7,197.0,10.0,198.0,1.0
HI,2020-07-25,2020,7,20.0,97.0,29.0,0.0
WV,2020-07-25,2020,7,366.0,551.0,414.0,1.0
CT,2020-07-23,2020,7,163.0,75.0,185.0,0.0
AK,2020-07-22,2020,7,33.0,50.0,41.0,1.0
ND,2020-07-22,2020,7,0.0,0.0,0.0,0.0
VI,2020-07-19,2020,7,2.0,0.0,4.0,0.0
ND,2020-07-15,2020,7,0.0,0.0,0.0,0.0
PR,2020-07-15,2020,7,5.0,3.0,5.0,0.0
CT,2020-07-10,2020,7,0.0,0.0,0.0,2.0
MT,2020-07-05,2020,7,0.0,0.0,0.0,0.0
NC,2020-07-01,2020,7,0.0,0.0,0.0,6.0
ME,2020-06-22,2020,6,0.0,0.0,0.0,1.0
LA,2020-06-16,2020,6,454.0,0.0,454.0,8.0
MT,2020-06-14,2020,6,0.0,0.0,0.0,0.0
SD,2020-06-13,2020,6,0.0,0.0,0.0,0.0
NE,2020-06-04,2020,6,31.0,0.0,31.0,1.0
NH,2020-05-05,2020,5,0.0,0.0,0.0,1.0
NH,2020-04-25,2020,4,0.0,0.0,0.0,0.0
VA,2020-03-28,2020,3,0.0,0.0,0.0,0.0
NJ,2020-03-27,2020,3,0.0,0.0,0.0,1.0
NJ,2020-03-24,2020,3,0.0,0.0,0.0,0.0
VA,2020-03-23,2020,3,0.0,0.0,0.0,0.0
VT,2020-03-21,2020,3,0.0,0.0,0.0,0.0
VA,2020-03-15,2020,3,0.0,0.0,0.0,0.0
VA,2020-03-08,2020,3,0.0,0.0,0.0,0.0
NJ,2020-03-06,2020,3,0.0,0.0,0.0,0.0
AL,2020-02-19,2020,2,0.0,0.0,0.0,0.0
MN,2020-02-06,2020,2,0.0,0.0,0.0,0.0
AL,2020-01-27,2020,1,0.0,0.0,0.0,0.0
AL,2020-01-02,2020,1,0.0,0.0,0.0,0.0
AL,2020-01-01,2020,1,0.0,0.0,0.0,0.0
VI,2022-01-26,2022,1,24.0,11.0,32.0,0.0
AS,2022-01-24,2022,1,0.0,4.0,0.0,0.0
VI,2022-01-24,2022,1,23.0,11.0,28.0,0.0
AS,2022-01-23,2022,1,0.0,6.0,0.0,0.0
VI,2022-01-23,2022,1,25.0,9.0,30.0,0.0
AS,2022-01-22,2022,1,0.0,5.0,0.0,0.0
VI,2022-01-21,2022,1,32.0,10.0,38.0,0.0
VI,2022-01-18,2022,1,26.0,7.0,29.0,0.0
AS,2022-01-17,2022,1,0.0,4.0,0.0,0.0
VI,2022-01-17,2022,1,25.0,9.0,27.0,0.0
VI,2022-01-16,2022,1,19.0,8.0,22.0,0.0
VI,2022-01-13,2022,1,18.0,6.0,20.0,0.0
AS,2022-01-09,2022,1,0.0,3.0,0.0,0.0
AS,2022-01-08,2022,1,0.0,4.0,0.0,0.0
